file	All Parser precision	All Parser recall	All Parser f1	All Explicit connective precision	All Explicit connective recall	All Explicit connective f1	All Arg1 extraction precision	All Arg1 extraction recall	All Arg1 extraction f1	All Arg2 extraction precision	All Arg2 extraction recall	All Arg2 extraction f1	All Arg 1 Arg2 extraction precision	All Arg 1 Arg2 extraction recall	All Arg 1 Arg2 extraction f1	Explicit only Parser precision	Explicit only Parser recall	Explicit only Parser f1	Explicit only Explicit connective precision	Explicit only Explicit connective recall	Explicit only Explicit connective f1	Explicit only Arg1 extraction precision	Explicit only Arg1 extraction recall	Explicit only Arg1 extraction f1	Explicit only Arg2 extraction precision	Explicit only Arg2 extraction recall	Explicit only Arg2 extraction f1	Explicit only Arg 1 Arg2 extraction precision	Explicit only Arg 1 Arg2 extraction recall	Explicit only Arg 1 Arg2 extraction f1	Non-explicit only Parser precision	Non-explicit only Parser recall	Non-explicit only Parser f1	Non-explicit only Explicit connective precision	Non-explicit only Explicit connective recall	Non-explicit only Explicit connective f1	Non-explicit only Arg1 extraction precision	Non-explicit only Arg1 extraction recall	Non-explicit only Arg1 extraction f1	Non-explicit only Arg2 extraction precision	Non-explicit only Arg2 extraction recall	Non-explicit only Arg2 extraction f1	Non-explicit only Arg 1 Arg2 extraction precision	Non-explicit only Arg 1 Arg2 extraction recall	Non-explicit only Arg 1 Arg2 extraction f1
sense en blind/discourse-relation-sense-classification-aarjay-run-2016-05-09-08-02-28.zip	0.4151	0.4144	0.4147	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.787	0.7842	0.7856	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0995	0.0995	0.0995	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
sense en blind/discourse-relation-sense-classification-BIT-run-2016-05-09-07-29-50.zip	0.1869	0.1869	0.1869	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.1799	0.1799	0.1799	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.193	0.193	0.193	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
sense en blind/discourse-relation-sense-classification-clac-run-2016-05-04-03-32-08.zip	0.5004	0.4996	0.5	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.7635	0.7608	0.7622	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.2772	0.2772	0.2772	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
sense en blind/discourse-relation-sense-classification-ecnucs-run-2016-05-02-09-12-21.zip	0.541	0.5401	0.5406	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.7748	0.7734	0.7741	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.342	0.3415	0.3418	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
sense en blind/discourse-relation-sense-classification-goethe-run-2016-05-02-12-52-06.zip	0.5236	0.5227	0.5232	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.7653	0.7626	0.764	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.3185	0.3185	0.3185	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
sense en blind/discourse-relation-sense-classification-gtnlp-run-2016-05-03-21-54-44.zip	0.5435	0.5426	0.543	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.7509	0.7482	0.7495	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.3675	0.3675	0.3675	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
sense en blind/discourse-relation-sense-classification-gw0-run-2016-05-08-21-46-37.zip	0.5248	0.5244	0.5246	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.7532	0.7518	0.7525	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.3308	0.3308	0.3308	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
sense en blind/discourse-relation-sense-classification-gw0-run-2016-05-09-13-50-34.zip	0.1993	0.1993	0.1993	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.1835	0.1835	0.1835	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.2129	0.2129	0.2129	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
sense en blind/discourse-relation-sense-classification-nguyenlab-run-2016-05-01-12-16-17.zip	0.5137	0.5128	0.5132	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.7491	0.7464	0.7477	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.3144	0.3139	0.3142	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
sense en blind/discourse-relation-sense-classification-oslopots-run-2016-05-08-20-04-53.zip	0.536	0.5352	0.5356	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.7774	0.7662	0.7717	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.3384	0.3384	0.3384	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
